date,open,high,low,close,volume,category,company_name
24-04-2020,22.53,22.68,21.75,22.41,43694281,Airline,Delta Air Lines
23-04-2020,22.65,22.96,22.41,22.48,43536633,Airline,Delta Air Lines
22-04-2020,23.88,23.94,21.63,22.47,70138338,Airline,Delta Air Lines
21-04-2020,23.02,23.77,22.8,23.1,38518448,Airline,Delta Air Lines
20-04-2020,23.44,24.12,22.91,23.64,42894845,Airline,Delta Air Lines
17-04-2020,24.15,24.61,23.59,24.27,52488030,Airline,Delta Air Lines
16-04-2020,23.76,23.8,22.63,22.78,55973221,Airline,Delta Air Lines
15-04-2020,24.91,25.5,23.31,24.35,87798348,Airline,Delta Air Lines
14-04-2020,23.9899,25.29,23.83,24.54,58599118,Airline,Delta Air Lines
13-04-2020,24.98,25.06,22.08,23.25,75904867,Airline,Delta Air Lines
09-04-2020,25.4,25.53,23.35,24.39,90591165,Airline,Delta Air Lines
08-04-2020,23.09,23.64,22.53,23.23,67176216,Airline,Delta Air Lines
07-04-2020,25.21,25.85,21.9,22.25,98637135,Airline,Delta Air Lines
06-04-2020,22.32,23.5,20.76,22.32,94851479,Airline,Delta Air Lines
03-04-2020,23.03,23.65,21.75,22.48,47066525,Airline,Delta Air Lines
02-04-2020,23.92,24.65,22.51,22.68,39259704,Airline,Delta Air Lines
01-04-2020,26.59,26.59,23.69,23.87,56017340,Airline,Delta Air Lines
24-04-2020,30.2,30.43,28.8,29.33,14935271,Airline,Southwest Airlines
23-04-2020,29.81,30.775,29.59,30.14,11613589,Airline,Southwest Airlines
22-04-2020,30.63,30.81,28.8,29.71,15675577,Airline,Southwest Airlines
21-04-2020,30.05,31.23,29.6,30.11,12548857,Airline,Southwest Airlines
20-04-2020,30.64,31.48,29.51,31.06,14535516,Airline,Southwest Airlines
17-04-2020,32.5,32.95,30.9,31.19,20116252,Airline,Southwest Airlines
16-04-2020,32.12,32.35,30.2,30.68,17616589,Airline,Southwest Airlines
15-04-2020,35.15,35.26,32.52,32.82,19984181,Airline,Southwest Airlines
14-04-2020,35.17,36.05,34.71,34.78,8676310,Airline,Southwest Airlines
13-04-2020,36.72,36.72,33.75,34.26,9054130,Airline,Southwest Airlines
09-04-2020,36.3,37.31,35.13,36.47,10337796,Airline,Southwest Airlines
08-04-2020,33.56,34.78,32.63,34.3,8902912,Airline,Southwest Airlines
07-04-2020,33.84,35.43,32.32,32.77,14025253,Airline,Southwest Airlines
06-04-2020,31.79,31.96,30,30.7,13824232,Airline,Southwest Airlines
03-04-2020,31.33,31.88,29.73,30.54,9736081,Airline,Southwest Airlines
02-04-2020,32.11,32.84,30.87,31.5,7842018,Airline,Southwest Airlines
01-04-2020,34.05,34.2,31.81,32.04,8539455,Airline,Southwest Airlines
24-04-2020,25.92,26.15,24.67,25.56,34646657,Airline,United Airlines Holdings
23-04-2020,26,26.56,25.66,25.72,35812489,Airline,United Airlines Holdings
22-04-2020,27.3,27.66,25.01,25.88,90730574,Airline,United Airlines Holdings
21-04-2020,27.01,28.36,26.76,27.88,28293236,Airline,United Airlines Holdings
20-04-2020,27.9265,28.67,26.69,27.79,37042169,Airline,United Airlines Holdings
17-04-2020,29.9,30.11,28.86,29.08,26829601,Airline,United Airlines Holdings
16-04-2020,30.348,30.49,27.92,28.21,44795626,Airline,United Airlines Holdings
15-04-2020,31.97,32.6,29.88,31.86,46775180,Airline,United Airlines Holdings
14-04-2020,30.52,32.21,30.38,30.9,28650556,Airline,United Airlines Holdings
13-04-2020,32.63,32.7,27.59,28.91,36493665,Airline,United Airlines Holdings
09-04-2020,29.92,34.04,29.57,31.5,54118482,Airline,United Airlines Holdings
08-04-2020,25.65,27.54,24.51,27.51,32657738,Airline,United Airlines Holdings
07-04-2020,28.21,28.69,23.7241,24.48,43809293,Airline,United Airlines Holdings
06-04-2020,23.9,24.8,21.8,24.02,32386709,Airline,United Airlines Holdings
03-04-2020,24.2165,24.9395,21.56,22.885,28350252,Airline,United Airlines Holdings
02-04-2020,25.2304,26.09,23,23.42,25212818,Airline,United Airlines Holdings
01-04-2020,29.51,29.69,25.3601,25.65,27541553,Airline,United Airlines Holdings
24-04-2020,183.23,190.41,180.825,190.07,28371184,Social Media,Facebook
23-04-2020,184.08,187.05,183.15,185.13,21426604,Social Media,Facebook
22-04-2020,178.45,184.78,178.14,182.28,33369931,Social Media,Facebook
21-04-2020,175.25,175.38,168.3408,170.8,24850528,Social Media,Facebook
20-04-2020,177.41,180.5,176.77,178.24,16110664,Social Media,Facebook
17-04-2020,179.2,180.28,176.66,179.24,20974750,Social Media,Facebook
16-04-2020,177.95,178.05,172.51,176.25,23593229,Social Media,Facebook
15-04-2020,175.1865,178.19,172.82,176.97,17423003,Social Media,Facebook
14-04-2020,178.9765,181.225,176.62,178.17,21011815,Social Media,Facebook
13-04-2020,173.67,175,169.45,174.79,19355355,Social Media,Facebook
09-04-2020,175.9,177.08,171.57,175.19,23534287,Social Media,Facebook
08-04-2020,171.25,175,167.74,174.28,21664198,Social Media,Facebook
07-04-2020,171.79,173.39,166.01,168.83,31411919,Social Media,Facebook
06-04-2020,160.15,166.2,158.51,165.55,28453581,Social Media,Facebook
03-04-2020,157.15,157.91,150.83,154.18,25983317,Social Media,Facebook
02-04-2020,159.1,161.3509,155.92,158.19,20886309,Social Media,Facebook
01-04-2020,161.615,164.15,158.035,159.6,19507559,Social Media,Facebook
24-04-2020,27.99,28.835,27.46,28.74,15722309,Social Media,Twitter
23-04-2020,28.43,28.84,27.73,27.86,18996046,Social Media,Twitter
22-04-2020,27,28.5,26.45,28.44,28556535,Social Media,Twitter
21-04-2020,26.39,26.72,25.055,25.75,28013897,Social Media,Twitter
20-04-2020,26.31,27.53,26.11,27.01,16735065,Social Media,Twitter
17-04-2020,27.16,27.92,26.47,26.7,21108157,Social Media,Twitter
16-04-2020,26.86,27.17,25.955,26.55,21776397,Social Media,Twitter
